Name,Address,Phone,State,ProfileURL,Website,ID
Dr Stuart Jones' Dental Rooms,,,VIC,https://www.dentist.com.au/dentist-detail/vic/benalla/dr-stuart-jones-dental-rooms/A11003041,,A11003041
Alliance Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/benalla/alliance-dental-group/A24019706,,A24019706
Northeast Health Benalla Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/benalla/northeast-health-benalla-dental-clinic/A21016874,,A21016874
NCN Health Numurkah Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/numurkah/ncn-health-numurkah-dental-clinic/A22018157,,A22018157
Goulburn Valley Dental Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/numurkah/goulburn-valley-dental-group/A20015899,,A20015899
Gunditjmara Aboriginal Cooperative Health Service,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/gunditjmara-aboriginal-cooperative-health-service/A21016844,,A21016844
Ladybay Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/ladybay-dental-clinic/A11003688,,A11003688
Raglan Dental Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/raglan-dental-clinic/A14012131,,A14012131
My Dentist Warrnambool,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/my-dentist-warrnambool/A11003689,,A11003689
Warrnambool Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/warrnambool-dental/A11010347,,A11010347
Duthy Orthodontics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/warrnambool/duthy-orthodontics/A16013970,,A16013970
